,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
826,1312197,1,16,2,JC Buttler,Yash Dayal,SO Hetmyer,,4,0,4,0,0,,,,Rajasthan Royals
827,1312197,1,16,3,JC Buttler,Yash Dayal,SO Hetmyer,,0,0,0,0,0,,,,Rajasthan Royals
828,1312197,1,16,4,JC Buttler,Yash Dayal,SO Hetmyer,,4,0,4,0,0,,,,Rajasthan Royals
829,1312197,1,16,5,JC Buttler,Yash Dayal,SO Hetmyer,wides,0,1,1,0,0,,,,Rajasthan Royals
830,1312197,1,16,6,JC Buttler,Yash Dayal,SO Hetmyer,,4,0,4,0,0,,,,Rajasthan Royals
831,1312197,1,16,7,JC Buttler,Yash Dayal,SO Hetmyer,,1,0,1,0,0,,,,Rajasthan Royals
832,1312197,1,17,1,JC Buttler,AS Joseph,SO Hetmyer,,4,0,4,0,0,,,,Rajasthan Royals
833,1312197,1,17,2,JC Buttler,AS Joseph,SO Hetmyer,,1,0,1,0,0,,,,Rajasthan Royals
834,1312197,1,17,3,SO Hetmyer,AS Joseph,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
835,1312197,1,17,4,JC Buttler,AS Joseph,SO Hetmyer,,4,0,4,0,0,,,,Rajasthan Royals
836,1312197,1,17,5,JC Buttler,AS Joseph,SO Hetmyer,,4,0,4,0,0,,,,Rajasthan Royals
837,1312197,1,17,6,JC Buttler,AS Joseph,SO Hetmyer,,0,0,0,0,0,,,,Rajasthan Royals
838,1312197,1,18,1,SO Hetmyer,Mohammed Shami,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
839,1312197,1,18,2,JC Buttler,Mohammed Shami,SO Hetmyer,,1,0,1,0,0,,,,Rajasthan Royals
840,1312197,1,18,3,SO Hetmyer,Mohammed Shami,JC Buttler,,0,0,0,0,1,SO Hetmyer,caught,R Tewatia,Rajasthan Royals
841,1312197,1,18,4,R Parag,Mohammed Shami,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
842,1312197,1,18,5,JC Buttler,Mohammed Shami,R Parag,,4,0,4,0,0,,,,Rajasthan Royals
